firm_id,quarter,IT_index
firm001,2019Q1,0.8164965809277258
firm001,2019Q2,0.8164965809277258
firm001,2019Q3,0.8164965809277258
firm001,2019Q4,0.8164965809277258
firm001,2020Q1,-1.2247448713915892
firm001,2020Q2,-1.2247448713915892
firm001,2020Q3,-1.2247448713915892
firm001,2020Q4,-1.2247448713915892
firm002,2019Q1,0.8164965809277258
firm002,2019Q2,0.8164965809277258
firm002,2019Q3,0.8164965809277258
firm002,2019Q4,0.8164965809277258
firm002,2020Q1,-1.2247448713915892
firm002,2020Q2,-1.2247448713915892
firm002,2020Q3,-1.2247448713915892
firm002,2020Q4,-1.2247448713915892
firm003,2019Q1,0.8164965809277258
firm003,2019Q2,0.8164965809277258
firm003,2019Q3,0.8164965809277258
firm003,2019Q4,0.8164965809277258
firm003,2020Q1,0.8164965809277258
firm003,2020Q2,0.8164965809277258
firm003,2020Q3,0.8164965809277258
firm003,2020Q4,0.8164965809277258
firm004,2019Q1,0.8164965809277258
firm004,2019Q2,0.8164965809277258
firm004,2019Q3,0.8164965809277258
firm004,2019Q4,0.8164965809277258
firm004,2020Q1,0.8164965809277258
firm004,2020Q2,0.8164965809277258
firm004,2020Q3,0.8164965809277258
firm004,2020Q4,0.8164965809277258
firm005,2019Q1,0.8164965809277258
firm005,2019Q2,0.8164965809277258
firm005,2019Q3,0.8164965809277258
firm005,2019Q4,0.8164965809277258
firm005,2020Q1,-1.2247448713915892
firm005,2020Q2,-1.2247448713915892
firm005,2020Q3,-1.2247448713915892
firm005,2020Q4,-1.2247448713915892
firm006,2020Q1,0.8164965809277258
firm006,2020Q2,0.8164965809277258
firm006,2020Q3,0.8164965809277258
firm006,2020Q4,0.8164965809277258
firm007,2020Q1,0.8164965809277258
firm007,2020Q2,0.8164965809277258
firm007,2020Q3,0.8164965809277258
firm007,2020Q4,0.8164965809277258
firm008,2020Q1,-1.2247448713915892
firm008,2020Q2,-1.2247448713915892
firm008,2020Q3,-1.2247448713915892
firm008,2020Q4,-1.2247448713915892
firm009,2020Q1,-1.2247448713915892
firm009,2020Q2,-1.2247448713915892
firm009,2020Q3,-1.2247448713915892
firm009,2020Q4,-1.2247448713915892
firm010,2020Q1,-1.2247448713915892
firm010,2020Q2,-1.2247448713915892
firm010,2020Q3,-1.2247448713915892
firm010,2020Q4,-1.2247448713915892
firm011,2020Q1,-1.2247448713915892
firm011,2020Q2,-1.2247448713915892
firm011,2020Q3,-1.2247448713915892
